State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
punjab,2020,2,Insurance,2036,399452.0
punjab,2020,4,Insurance,2451,1884291.0
punjab,2020,3,Insurance,2488,684753.0
punjab,2021,1,Insurance,3783,2558380.0
punjab,2021,2,Insurance,4047,3768919.0
punjab,2021,4,Insurance,6638,9912828.0
punjab,2021,3,Insurance,4887,5271559.0
punjab,2022,1,Insurance,7475,13155682.0
punjab,2022,2,Insurance,9175,15465367.0
punjab,2022,4,Insurance,12187,21727831.0
punjab,2022,3,Insurance,12370,19381895.0
punjab,2023,1,Insurance,10816,23330966.0
punjab,2023,2,Insurance,13187,24998175.0
punjab,2023,4,Insurance,13777,28715828.0
punjab,2023,3,Insurance,14048,24461488.0
uttarakhand,2020,2,Insurance,660,134899.0
uttarakhand,2020,4,Insurance,1756,1961891.0
uttarakhand,2020,3,Insurance,1403,418543.0
uttarakhand,2021,1,Insurance,2607,2719327.0
uttarakhand,2021,2,Insurance,2742,3265717.0
uttarakhand,2021,4,Insurance,5529,7849020.0
uttarakhand,2021,3,Insurance,4111,4646571.0
uttarakhand,2022,1,Insurance,5339,8824948.0
uttarakhand,2022,2,Insurance,5773,9168313.0
uttarakhand,2022,4,Insurance,8750,13817747.0
uttarakhand,2022,3,Insurance,6784,10070172.0
uttarakhand,2023,1,Insurance,7552,13599026.0
uttarakhand,2023,2,Insurance,8051,14034915.0
uttarakhand,2023,4,Insurance,10040,19045152.0
uttarakhand,2023,3,Insurance,7856,12636749.0
kerala,2020,2,Insurance,1588,360216.0
kerala,2020,4,Insurance,5479,4445525.0
kerala,2020,3,Insurance,8811,2830361.0
kerala,2021,1,Insurance,5731,5040506.0
kerala,2021,2,Insurance,9530,9676588.0
kerala,2021,4,Insurance,19199,31260319.0
kerala,2021,3,Insurance,10926,13255646.0
kerala,2022,1,Insurance,37110,64172190.0
kerala,2022,2,Insurance,35667,59920203.0
kerala,2022,4,Insurance,65563,103982997.0
kerala,2022,3,Insurance,54587,85390924.0
kerala,2023,1,Insurance,62377,101786828.0
kerala,2023,2,Insurance,61032,100620604.0
kerala,2023,4,Insurance,73543,121905046.0
kerala,2023,3,Insurance,66059,110021582.0
puducherry,2020,2,Insurance,112,22251.0
puducherry,2020,4,Insurance,234,197955.0
puducherry,2020,3,Insurance,191,58399.0
puducherry,2021,1,Insurance,372,351827.0
puducherry,2021,2,Insurance,526,508277.0
puducherry,2021,4,Insurance,786,946607.0
puducherry,2021,3,Insurance,561,556442.0
puducherry,2022,1,Insurance,1199,1663404.0
puducherry,2022,2,Insurance,1156,1597786.0
puducherry,2022,4,Insurance,2331,2693130.0
puducherry,2022,3,Insurance,1585,2025529.0
puducherry,2023,1,Insurance,1955,2593091.0
puducherry,2023,2,Insurance,1809,2614006.0
puducherry,2023,4,Insurance,2447,3419395.0
puducherry,2023,3,Insurance,2232,2891647.0
himachal-pradesh,2020,2,Insurance,392,77936.0
himachal-pradesh,2020,4,Insurance,710,630966.0
himachal-pradesh,2020,3,Insurance,531,165559.0
himachal-pradesh,2021,1,Insurance,1064,906492.0
himachal-pradesh,2021,2,Insurance,1210,1402338.0
himachal-pradesh,2021,4,Insurance,2474,4667661.0
himachal-pradesh,2021,3,Insurance,1759,2444545.0
himachal-pradesh,2022,1,Insurance,2768,5234739.0
himachal-pradesh,2022,2,Insurance,2831,5371078.0
himachal-pradesh,2022,4,Insurance,4565,9060436.0
himachal-pradesh,2022,3,Insurance,3641,6161692.0
himachal-pradesh,2023,1,Insurance,3909,7826133.0
himachal-pradesh,2023,2,Insurance,4197,8499425.0
himachal-pradesh,2023,4,Insurance,5211,11898824.0
himachal-pradesh,2023,3,Insurance,3935,7869767.0
tamil-nadu,2020,2,Insurance,5473,1075552.0
tamil-nadu,2020,4,Insurance,10290,8993575.0
tamil-nadu,2020,3,Insurance,8026,2257373.0
tamil-nadu,2021,1,Insurance,14406,11180849.0
tamil-nadu,2021,2,Insurance,17682,16444344.0
tamil-nadu,2021,4,Insurance,33037,42184290.0
tamil-nadu,2021,3,Insurance,23107,23402918.0
tamil-nadu,2022,1,Insurance,47621,64969045.0
tamil-nadu,2022,2,Insurance,46714,61835120.0
tamil-nadu,2022,4,Insurance,125491,146457790.0
tamil-nadu,2022,3,Insurance,64356,79747520.0
tamil-nadu,2023,1,Insurance,90690,116710222.0
tamil-nadu,2023,2,Insurance,79698,105328191.0
tamil-nadu,2023,4,Insurance,104871,139433796.0
tamil-nadu,2023,3,Insurance,91069,114625593.0
ladakh,2020,2,Insurance,14,2538.0
ladakh,2020,4,Insurance,27,34206.0
ladakh,2020,3,Insurance,33,10260.0
ladakh,2021,1,Insurance,32,34530.0
ladakh,2021,2,Insurance,46,86251.0
ladakh,2021,4,Insurance,76,195966.0
ladakh,2021,3,Insurance,192,174052.0
ladakh,2022,1,Insurance,75,193935.0
ladakh,2022,2,Insurance,113,269446.0
ladakh,2022,4,Insurance,162,410091.0
ladakh,2022,3,Insurance,137,369742.0
ladakh,2023,1,Insurance,161,495736.0
