State,Year,Quarter,District,Count,Amount
punjab,2020,2,shahid bhagat singh nagar district,24,5640.0
punjab,2020,2,fazilka district,28,6678.0
punjab,2020,2,barnala district,11,2288.0
punjab,2020,2,mansa district,11,2607.0
punjab,2020,2,ludhiana district,558,104769.0
punjab,2020,2,sri muktsar sahib district,50,9490.0
punjab,2020,2,patiala district,107,21680.0
punjab,2020,2,pathankot district,32,7510.0
punjab,2020,2,fatehgarh sahib district,18,4065.0
punjab,2020,2,rupnagar district,29,7817.0
punjab,2020,2,tarn taran district,35,7444.0
punjab,2020,2,sas nagar district,352,63936.0
punjab,2020,2,sangrur district,64,12663.0
punjab,2020,2,jalandhar district,296,54064.0
punjab,2020,2,bathinda district,76,16389.0
punjab,2020,2,kapurthala district,29,6534.0
punjab,2020,2,firozepur district,17,3527.0
punjab,2020,2,gurdaspur district,34,7293.0
punjab,2020,2,amritsar district,156,31594.0
punjab,2020,2,faridkot district,17,3547.0
punjab,2020,2,hoshiarpur district,73,15546.0
punjab,2020,2,moga district,19,4371.0
punjab,2020,4,shahid bhagat singh nagar district,15,13696.0
punjab,2020,4,fazilka district,71,42628.0
punjab,2020,4,barnala district,22,33397.0
punjab,2020,4,mansa district,28,28902.0
punjab,2020,4,ludhiana district,516,306909.0
punjab,2020,4,sri muktsar sahib district,49,34464.0
punjab,2020,4,patiala district,156,100202.0
punjab,2020,4,pathankot district,74,103285.0
punjab,2020,4,fatehgarh sahib district,41,26305.0
punjab,2020,4,rupnagar district,58,42892.0
punjab,2020,4,tarn taran district,39,28617.0
punjab,2020,4,sas nagar district,365,275714.0
punjab,2020,4,sangrur district,79,27515.0
punjab,2020,4,jalandhar district,249,179846.0
punjab,2020,4,bathinda district,159,131704.0
punjab,2020,4,kapurthala district,40,32713.0
punjab,2020,4,firozepur district,75,63082.0
punjab,2020,4,gurdaspur district,59,72412.0
punjab,2020,4,amritsar district,179,180379.0
punjab,2020,4,faridkot district,38,33157.0
punjab,2020,4,hoshiarpur district,99,104137.0
punjab,2020,4,moga district,40,22335.0
punjab,2020,3,shahid bhagat singh nagar district,38,11423.0
punjab,2020,3,fazilka district,64,13965.0
punjab,2020,3,barnala district,21,4019.0
punjab,2020,3,mansa district,34,12235.0
punjab,2020,3,ludhiana district,580,147327.0
punjab,2020,3,sri muktsar sahib district,36,6706.0
punjab,2020,3,patiala district,202,55606.0
punjab,2020,3,pathankot district,42,15959.0
punjab,2020,3,fatehgarh sahib district,54,23169.0
punjab,2020,3,rupnagar district,66,21805.0
punjab,2020,3,tarn taran district,81,18363.0
punjab,2020,3,sas nagar district,361,98689.0
punjab,2020,3,sangrur district,66,19107.0
punjab,2020,3,jalandhar district,209,64695.0
punjab,2020,3,bathinda district,142,38321.0
punjab,2020,3,kapurthala district,50,13864.0
