State,Year,Quarter,Pincode,Transaction_count,Transaction_amount
punjab,2020,2,143001,122,23909.0
punjab,2020,2,144008,99,15954.0
punjab,2020,2,140301,67,11885.0
punjab,2020,2,141001,66,12585.0
punjab,2020,2,141008,65,10793.0
punjab,2020,2,141003,61,10348.0
punjab,2020,2,140603,52,10310.0
punjab,2020,2,141010,47,9317.0
punjab,2020,2,160104,44,7162.0
punjab,2020,2,140501,38,5579.0
punjab,2020,4,143001,123,81797.0
punjab,2020,4,141008,69,48316.0
punjab,2020,4,140603,67,53258.0
punjab,2020,4,144005,51,28200.0
punjab,2020,4,151005,49,41970.0
punjab,2020,4,141010,46,28298.0
punjab,2020,4,145001,44,60796.0
punjab,2020,4,141003,42,20814.0
punjab,2020,4,140301,41,29686.0
punjab,2020,4,140308,39,21359.0
punjab,2020,3,143001,136,35876.0
punjab,2020,3,141008,90,19081.0
punjab,2020,3,140603,69,20263.0
punjab,2020,3,140301,66,20065.0
punjab,2020,3,143422,55,10943.0
punjab,2020,3,147001,52,16109.0
punjab,2020,3,141003,46,12736.0
punjab,2020,3,141001,42,12569.0
punjab,2020,3,141010,41,8132.0
punjab,2020,3,151001,41,13101.0
punjab,2021,1,143001,212,90359.0
punjab,2021,1,141008,132,47671.0
punjab,2021,1,141003,96,29227.0
punjab,2021,1,160055,87,43636.0
punjab,2021,1,140603,74,55956.0
punjab,2021,1,151005,60,47191.0
punjab,2021,1,141007,57,16218.0
punjab,2021,1,147001,56,35180.0
punjab,2021,1,141010,55,16027.0
punjab,2021,1,151001,55,17597.0
punjab,2021,2,143001,266,228609.0
punjab,2021,2,141008,136,77033.0
punjab,2021,2,140603,107,130579.0
punjab,2021,2,145001,95,90397.0
punjab,2021,2,141003,86,62933.0
punjab,2021,2,151001,83,64141.0
punjab,2021,2,151005,81,92499.0
punjab,2021,2,141001,72,62977.0
punjab,2021,2,140301,63,57128.0
punjab,2021,2,141007,55,36304.0
punjab,2021,4,151501,512,194744.0
punjab,2021,4,143001,300,464854.0
punjab,2021,4,140603,194,223898.0
punjab,2021,4,140301,190,304498.0
punjab,2021,4,151005,155,165702.0
punjab,2021,4,145001,142,277681.0
punjab,2021,4,141008,131,146870.0
punjab,2021,4,147001,94,110103.0
punjab,2021,4,140308,93,119794.0
punjab,2021,4,141001,91,90421.0
punjab,2021,3,143001,238,172614.0
punjab,2021,3,148001,175,72332.0
punjab,2021,3,151501,157,57910.0
punjab,2021,3,141008,141,112886.0
punjab,2021,3,141001,130,119194.0
punjab,2021,3,140603,115,110933.0
punjab,2021,3,151001,108,55392.0
punjab,2021,3,145001,99,190421.0
punjab,2021,3,144001,81,68353.0
punjab,2021,3,140308,75,89301.0
punjab,2022,1,151501,630,257611.0
punjab,2022,1,143001,290,478639.0
punjab,2022,1,140603,209,305066.0
punjab,2022,1,151005,177,256015.0
punjab,2022,1,140301,171,309608.0
punjab,2022,1,141001,165,296119.0
punjab,2022,1,151001,155,131650.0
punjab,2022,1,141008,155,277049.0
punjab,2022,1,145001,147,282123.0
punjab,2022,1,148001,114,69407.0
punjab,2022,2,143001,447,708848.0
punjab,2022,2,140603,265,405702.0
punjab,2022,2,140301,261,441501.0
punjab,2022,2,145001,222,315954.0
